URL,sales_rank,overall_rating,discount_value,discount_rate,feature1,answered_ques,positive,negative,exchange,emi,No_of_people,customer_reviews,most_helpful,bank_offer,months,5_rating,4_rating,3_rating,2_rating,1_rating,feature2,feature3
https://www.amazon.in/Redmi-Gold-3GB-32GB-Storage/dp/B0756RF9KY/ref=sr_1_133?s=electronics&amp;ie=UTF8&amp;qid=1552745211&amp;sr=1-133&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,121,4.2,1274,13,4.1,0,82,10,1,1,2,4536,1,1,11,57,25,8,2,8,4.1,4
https://www.amazon.in/Coolpad-Note-3-Plus-Gold/dp/B01DDP7DK8/ref=sr_1_410?s=electronics&amp;ie=UTF8&amp;qid=1552751877&amp;sr=1-410&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,852,3.5,0,0,3.6,911,62,27,1,1,6,3706,5,1,13-May-16,39,23,11,7,20,3.5,3.2
https://www.amazon.in/Huawei-Lite-Black-64GB-Storage/dp/B077Q195JB/ref=sr_1_247?s=electronics&amp;ie=UTF8&amp;qid=1552748406&amp;sr=1-247&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,533,4.1,0,0,4.1,771,76,14,1,1,86,2993,5,1,2-May-18,49,27,10,5,9,3.9,3.7
https://www.amazon.in/Huawei-Lite-Blue-64GB-Storage/dp/B0784D8628/ref=sr_1_255?s=electronics&amp;ie=UTF8&amp;qid=1552748406&amp;sr=1-255&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,533,4.1,0,0,4.1,771,76,14,1,1,86,2993,5,1,2-May-18,49,27,10,5,9,3.9,3.7
https://www.amazon.in/Redmi-5-Rose-Gold-64GB/dp/B077PWBGRD/ref=sr_1_322?s=electronics&amp;ie=UTF8&amp;qid=1552750526&amp;sr=1-322&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,375,4.2,1000,8,4.1,853,80,12,1,1,35,2816,1,1,25-Jul-18,57,23,8,3,9,4.1,4
https://www.amazon.in/Redmi-Blue-3GB-32GB-Storage/dp/B078BN2H47/ref=sr_1_283?s=electronics&amp;ie=UTF8&amp;qid=1552748958&amp;sr=1-283&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,553,4.2,0,0,4.1,853,80,12,1,1,35,2816,1,1,6-Apr-18,57,23,8,3,9,4.1,4
https://www.amazon.in/Vivo-V11-Pro-Dazzling-Storage/dp/B07H2CNLMC/ref=sr_1_258?s=electronics&amp;ie=UTF8&amp;qid=1552748406&amp;sr=1-258&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,458,4.5,5000,17,4.5,833,88,7,1,1,214,2787,4,1,6-Sep-18,68,20,5,2,5,4.5,4.1
https://www.amazon.in/Vivo-V11-Pro-Starry-Storage/dp/B07GZ2TD2J/ref=sr_1_67?s=electronics&amp;ie=UTF8&amp;qid=1552739092&amp;sr=1-67&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,56,4.5,5000,17,4.5,833,88,7,1,1,214,2786,4,1,7,68,20,5,2,5,4.5,4.1
https://www.amazon.in/Asus-Zenfone-Black-16GB-Storage/dp/B018VKZPG4/ref=sr_1_312?s=electronics&amp;ie=UTF8&amp;qid=1552749212&amp;sr=1-312&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,466,3.7,3040,29,4,109,68,22,1,1,3,2607,4,1,14,43,25,10,6,16,3.7,3.6
https://www.amazon.in/Asus-Zenfone-Black-16GB-Storage/dp/B018VKZPG4/ref=sr_1_313?s=electronics&amp;ie=UTF8&amp;qid=1552750526&amp;sr=1-313&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,582,3.7,3040,29,4,109,68,22,1,1,3,2607,4,1,1-Jan-17,43,25,10,6,16,3.7,3.6
https://www.amazon.in/Redmi-Note-4-Black-64GB/dp/B077PWHMW4/ref=sr_1_307?s=electronics&amp;ie=UTF8&amp;qid=1552749212&amp;sr=1-307&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,513,3.9,0,0,4,541,73,20,1,1,25,2492,1,1,19-Jan-18,52,21,7,4,16,3.9,3.8
https://www.amazon.in/Motorola-Plus-Fine-Gold-32GB/dp/B07895R766/ref=sr_1_274?s=electronics&amp;ie=UTF8&amp;qid=1552748958&amp;sr=1-274&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,403,3.3,1900,19,4,825,55,35,1,1,10,2460,1,1,21-Nov-17,34,21,10,7,28,3.5,3.5
https://www.amazon.in/Motorola-Plus-Iron-Gray-32GB/dp/B073YY7YCG/ref=sr_1_248?s=electronics&amp;ie=UTF8&amp;qid=1552748406&amp;sr=1-248&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,377,3.3,0,0,4,825,55,35,1,1,10,2460,1,1,22-Nov-17,34,21,10,7,28,3.5,3.5
